round counter: 0,min troops: 2,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 1,min troops: 2,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 2,min troops: 3,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 0,min troops: 3,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 1,min troops: 3,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 2,min troops: 1,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 0,min troops: 1,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 1,min troops: 1,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 2,min troops: 1,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
round counter: 0,min troops: 1,max workers: 15,min workers: 5,max soldiers: 10,min soldiers: 5,max archers: 10,min archers: 5,max bases: 2,max barracks: 2,max refineries: 2,
